Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility
50,10,20.5,39.72333333,19.6,39.36333333,20.7,40.29,20.29,37.29,18.1,50.26,4.8,87.86666667,19.29,33.772,20,39.5,18.2,39.63714286,6.166666667,758.7,62.66666667,2,40
70,0,21.2,35.29,18.76,36.2,20.5,37.7,19.39,35,18.96333333,53.52666667,-3.5,80.69,19.39,29.06666667,21.6,41.06666667,18.2,39.59,-2.616666667,766.8333333,87,2.833333333,28
50,0,21.39,37.66333333,18.53333333,39.9,21.1,37.82666667,20.6,33.7,18.29,51.59,1.966666667,59.33333333,19.7,34.29,21.7,40.99,18.1,40.09,1.8,763,84.33333333,1,60.66666667
40,0,19.6,45,18.79,44.2,19.82333333,44.62666667,18.2,43.82666667,17.2,52.09,4.996666667,84.39666667,19.1,39.07,18.945,45.09611111,17.29,46.5,5.033333333,765.1333333,78.66666667,2,40
50,0,24.68090909,49.61581818,24.2954955,47.36903904,26.85418182,43.95090909,23.98828829,46.98585586,22.91711712,52.64369369,22.25657658,22.69833333,23.87477477,43.96954955,24.43036364,51.33454545,23.17945455,48.49090909,17.2,751.3,84,2,40
50,0,18.29,38.79,17.5,38.79,18.7,40.29,17.29,38.09,16.16111111,55.345,-1.53,93.16,16.1,33.9,19,46.545,15.89,43.4,-2.2,762.7,89,2,51
50,0,21.1,37.2,18.2,40.23,21.39,36.5,19.79,34.9,18.29,46.62666667,5.3,57,19.56666667,31.06666667,21.92666667,42.09,19.7,40.86333333,4.666666667,761.8,88,2,50.33333333
50,0,20.1,38.4,18.13333333,39.79,21,40.36333333,18.6,39.09,18.67777778,58.95,1.6,87.33,19,34.7,21.86222222,45.30944444,18.5,43.29,0.6,738,93,2,64
110,0,22.89,43.29,21.2,44.13333333,24.29,38.9,22.29,40.65722222,21.82333333,73.59,11.66666667,44.25666667,21.7,36.12666667,23.79,42.145,20.89,43.03,12.83333333,744.9333333,73,5,36.33333333
70,10,18.6,38.93,16.7,41.4,20,37.59,17.79333333,38.13333333,17.6,51.725,3.26,75.36666667,18,32.5,20.23,43.46666667,18,41.83333333,2.9,746.3,95,5.666666667,20
50,0,21.89,38.59,19.53333333,39.66333333,22.1,37.4,21.89,35.7,20.29,52.06,6.15,36.645,20.7,31.02,22.1,43.13333333,20,37.96666667,7.083333333,767.15,79.66666667,3.833333333,40
110,20,21.5,48.5,20.63333333,44.9,21.5,43.32,21.66666667,45.6,18.6,58.736,12.3,80.13,18.29,44.9,22.1,49.02666667,18.39,46.79,12,754.9333333,84,11,40
50,0,19.5,37,16.26,41.4,20.6,37.93333333,18.39,35.2,17.5,47,3.826666667,60.92333333,18.5,35.96666667,19.79,43.09,17.6,40.32666667,4.1,746.8,71,8,40
50,0,22.89,36.29,20.53333333,38.2,23.89,37.36333333,22.6,34.5,19.29,41.09,7.69,40.83333333,22.5,36.9,22.96333333,42.59,21.1,41.09,8.933333333,755.6666667,80,4,40
310,10,22.73,40.92666667,22.26,39.26,26.13333333,41.06,21.7,41.99,20.79,45.33333333,17.29333333,10.33333333,21.89,36.03,24.5,42.86333333,20.79,44.2,15.1,749.5,60.33333333,7,40
40,0,19.42666667,46.29,18.66666667,46.26,19.79,45.12666667,18.39,47.66333333,17.45722222,54.35722222,10.03333333,96.5,17.7,44.9,17.7,50.87555556,17.1,48.79,10.03333333,754.9833333,90.5,9,56.33333333
100,0,21.85666667,41.76,21.675,40.2675,20.66666667,42.13333333,19.7,42.45,19.79,46.55722222,5.09,92.56,19.5,36.735,23.33444444,42.885,18.6,41.93333333,4.033333333,748.6,94,1.666666667,48.33333333
30,20,21.32333333,41.29,18.35666667,46.79,20.79,38.5,21.2,37.2,18.7,47.5,4.2725,69.0675,20.7,29.89,22.7,42.82666667,19.6,38.66333333,4.4,764.5,93,3,55
60,0,20.26,37.73,18.7,38.23,20.35666667,36.09,19.03333333,35.73,17.5,44,4.53,82.19,18.6,30.63333333,19.79,37.36333333,17.89,36.7,4.5,755.1,91,9,65
60,0,25,48.26,27.39,40.59,25.87571429,44.95571429,26.1,44.29,23.89,52.06,23.81,2.7,24.79,43.33714286,25.29,48.2,24,47.73571429,20.63333333,748.1,65.33333333,1,40
80,10,22.29,39.22666667,20.46,39.69333333,23,36.59,22.6,35.112,20.39,43.56,10.62666667,19.72333333,21.6,33.22285714,22,39.93333333,20.39,39.12666667,8.433333333,759.9,79.33333333,3,32.66666667
80,0,18.5,39.09,17.16666667,39.53,18.92666667,39.4,17.32333333,38.4,16.73,48.7,-3.411111111,91.18166667,17,33,19.1,45.09,16.29,42.32666667,-2.966666667,758.9,90,2.833333333,61
60,0,21.5,38.46666667,18.7,41.09,22.39,37.7,21.6,35.4,20.1,49.46666667,3.933333333,43.32666667,20.5,31.478,22,43.46666667,20,40.09,5.1,767.5,83,4,40
60,0,21.7,39.4,19.2,42.09,22.2,38.7,20.2,38.5,19.76,51.86333333,6.69,70.02666667,20.39,39.2,22.35666667,47.65666667,19.39,42.62666667,6.266666667,755.1166667,95.33333333,4,45.66666667
60,0,21.6,44.5,19.89,46.59,23.1,41.79,21,43.79,19.79,49.7,11.3,51.55666667,21,39.66333333,23.5,51.33333333,20.5,48,11.93333333,748.0666667,89.33333333,4.333333333,34.33333333
120,20,22.1,44.59,19.56666667,48.7,24.39,40.26,21.29,43.62666667,20.79,55.62666667,9.83,55.26666667,21.79,41.995,23.5,47.263,20.89,46.79,9.583333333,748.95,92.33333333,1,38.16666667
60,0,21.7,38.79,18.89,42.59,22.39,38.23,20.56666667,36.79,20.2,42.12666667,5.726666667,67.33333333,20,38.09,22.39,43.73,19.79,41.79,5.283333333,755.8,95,2,33.16666667
580,0,21.6,34.62666667,19.5,33.76,22.575,34.8725,19.79,32,17.1,47.53,6.366666667,23.55666667,22.35666667,25,22.79,31.03,18.5,38.5,6.1,762.2666667,45.33333333,5.666666667,40
50,0,20.85666667,37.22333333,19.2,36.96666667,20.5,37.09,19.7,35.2,19.39,67.24,1.323333333,64.65666667,18.7,34.80571429,20.6,42.86333333,17.7,38.65666667,2.033333333,750.7333333,81,2.666666667,21.33333333
50,0,19.96333333,42.26,19.39,40.62666667,20.89,41.9,18.79,42.33333333,18.89,61.53,0.033333333,89.16,19.98166667,41.09,21.90222222,49.93888889,18.89,45.56,1.433333333,748.8,98.33333333,3.333333333,60.33333333
120,10,21.5,36.53,18.6,39.59,22.89,34.63333333,21.6,33.97142857,20.5,44.23,4.64,44.745,21.39,32.7,22.79,38.7,20.39,37.06666667,3.7,758,89.5,3,33
80,10,21.65714286,37.54,20,37.4,20.79,37.4,20.6,35.08,17.89,45.2,4.4975,61.295,19.79,29.2,22.29,37.31142857,18.6,41.09,4.4,750.1,79,3,40
80,20,22.6,47.93,22.125,43.9975,21.7,46.36666667,20,49.9,17.97555556,54.86277778,11.1,99.9,18.99388889,48.235,21.7,52.21166667,16.79,49.36333333,11.63333333,752.85,91.16666667,7.833333333,24.83333333
50,0,19.5,46.29,18.7,46.2,19.79,45.2,18.39,47.59,17.48777778,54.38777778,10.19,94.33333333,17.7,44.9,17.7,50.80222222,17.1,48.79,10.1,754.95,89.5,9,43
60,0,20.7,35,18.79,35.7,20.79,36.4,19.1,33.45,17.7,51.48571429,0.25,56.69,19.6,33.44,21.63333333,40.69333333,18.03333333,39.73,0.6,754.15,74,5,23
20,0,17.2,43.32666667,16.29,43.7,17.6,41.5,15.3,42.9,15.5,49.09,6.093333333,99.9,15.69,38.5,16.58333333,46.37555556,15.1,42.9,5.65,767.7333333,99,3.166666667,42.33333333
390,0,20.92666667,40.7,20.13333333,41.9,22.1,38,20.29,38.96666667,20,47.22571429,13.09,18.16666667,21.1,35.46857143,22.29,40.93333333,20.5,39.59,9.8,750.35,69,4.5,32.5
60,0,20,38.32666667,18.35666667,39.56666667,20.5,38.59,19.575,36.7,18.23,51.13333333,0.133333333,85.33,18.6,35.794,19.79,41.79,17.478,38.332,1.6,759.6,92,1,59
70,0,25.6,46.76,26.57142857,41.59571429,26.2,44.09,26.1,44.018,24.06666667,50.63333333,24.58571429,3.852857143,25.39,42.79571429,26.46333333,49.26,24.1,48.536,23.7,746.9,47,3,40
110,30,21.6,35.46666667,19.5,37.09,22.35666667,34.62666667,20.63,34.06,18.175,54.445,0.6,51.23,21,24.79,22.79,34.45,18.39,38.09,0.75,763.6,78.5,2.5,24
80,0,21.89,35.36,21.2,34.66333333,24.7675,36.0225,20.1,37.26,19.7,58.12333333,13,1,19.5,30.29,22.7,38.2,19.46333333,38.36333333,10.5,759.6,59,5,40
390,10,21.39,43.66333333,20.82333333,41.72333333,21.39,43.06,18.7,41.2,18.89,53.92777778,7.063333333,63.62666667,19.2,34.9,22.48166667,44.54833333,19.1,42.33333333,7.55,747.1,66,8,40
70,10,22.1,39.9,20.5,39.66333333,20.39,39.7,21.2,39.7,19.7,71.53333333,-4.628888889,88.06444444,20.29,36.2,21.79,42.86333333,17.66666667,38.09,-2.466666667,763.9666667,84,2,27.66666667
60,0,24.57181818,51.29363636,23.88468468,49.8893994,27.09636364,45.28181818,23.88018018,47.99990991,22.7981982,53.44855856,20.60036036,33.77833333,23.73423423,45.06846847,24.60272727,52.70909091,23.22090909,49.58181818,14.7,750,93,4,40
40,20,20.39,36.79,17.7,39.79,20.1,37.2,21.39,35.79,18.1,54.56,3.663333333,51.6,18.2,34.79,20.39,44.03,17.29,37.7,2.25,751.75,81,1,22.5
90,0,25.53333333,46.86,25.978,42.534,27.32333333,41.09,24.7,45.62666667,23.2,52.32666667,25.63,1,24.5,44.76428571,24.66666667,50.445,23.2,46.745,22.86666667,755.2,55.33333333,3.166666667,22.83333333
60,0,22.6,37.4,20.7,38.82666667,23.39,37.7,22.79,35.09,20.5,43,12.03333333,10.66,22,36.312,22.6,45.43333333,20.2,39.23,11.23333333,760.3,69.33333333,1.666666667,27.33333333
320,0,22.06666667,46.16333333,22.1,43.66333333,24.53333333,43.26,21.42666667,44.7,20.76,54.69333333,15.19,24.46666667,21,38.46333333,23.46333333,46.43333333,20.6,45.4,12.2,749.9,76.5,7,40
70,0,23.39,42.495,23.396,40.63,24.23,38.9,23.29,40.26666667,21.2,46.4,18.86,3.656666667,23,38.53,23.2,43.18428571,22.62857143,41.75142857,14.76666667,752.1666667,70.33333333,4,26.83333333
40,10,20.29,38,17.96333333,39.79,20.89,40.29,19.6,37.59,18.15,48.2,-3.36,81.42666667,18.76,32.66333333,21,42.29,17.96333333,41.29,-2.866666667,770.2666667,95.33333333,0.666666667,48.66666667
50,0,21.29,43.29,19.89,43.93333333,21.89,42.09,20.56666667,44.09,18.14285714,54.38428571,10.19,92.65666667,18.2,41.7,21.06666667,55.12666667,18.1,45.79,10.1,755.95,95,8.5,49.5
50,0,20.7,37.93333333,17.92666667,40.59,20.1,38.09,19.42666667,35.2,18.23,47.12666667,5.06,75.66333333,18.39,34.045,20.7,41.2,17.5,38.12666667,4.6,754,75,6,40
50,0,21.89,38.09,19.26,41.29,24.6,37.29,21.96333333,35.29,20.66666667,49.52666667,6.263333333,51.42333333,21.29,32.536,22.85,44.156,20.6,41.36333333,5.866666667,756.2666667,87.66666667,4,40
40,0,20.315,36.8975,18.85666667,35.56333333,21.66666667,35.16333333,19.79,35.7,18.32333333,40.36333333,2.06,83.96666667,18.93,29.32333333,20.32333333,36.43,18,37.79,3.033333333,772.1166667,66.66666667,4,40
50,0,24.79,47.29,22.98428571,49.25142857,26.6,43.5,25,45.4,24,57.79,14.6,57.29,24.6,42.75142857,26.16666667,53.06,24.1,47.178,14.68333333,748.8833333,93.66666667,3,40
40,10,19.6,41.26666667,17.79,42.16333333,20.26,40.7,18.53333333,40.29,17.89,58.43333333,1.963333333,88.86333333,19.32888889,39.13,21.2,45.92555556,17.89,44.56,1.966666667,754.4,80.33333333,6.666666667,40
50,0,25.1,39.4,27.63333333,31.89,26.1,38.4,25.1,37.53,23.2,41.76666667,27.26571429,1,23.89,36.356,24.56,38.958,23.1,41.82666667,24.83333333,751.7666667,39.33333333,4,40
140,30,22.53333333,47.19666667,22.03333333,43.45666667,21.7,46.02666667,20.06666667,49.56666667,17.96333333,54.59833333,11.1,99.9,19.06111111,48.44166667,21.71,52.42944444,16.79,49.29,11.6,752.8,91,8,25
60,30,19.89,46.69333333,19.2,44.7225,19.79,44.79,19,45.9925,17.16666667,55.2,6.833333333,84.06333333,17.2,41.56,18.2,48.86333333,17.06666667,45.56,6.483333333,733.6,92,6.666666667,59.16666667
110,0,23.1,39.12666667,21.39,38.23,25.53333333,35.2,22.7,35.4,20.79,44.06,11.8,11.53333333,21.6,31.2,23.92666667,40.06,20.39,35.5,11.9,756.7,63.5,4.5,40
60,20,22.53333333,43.76,20.89,44.09,23.13333333,40.59,22.76,41.9,21.08571429,45.88428571,11.06666667,36.73333333,21.89,36.79,23.5,42.79,20.79,41.53,12.23333333,751.2,70.66666667,4,40
30,0,20.03333333,42.73,19.13333333,42.29,20.82333333,44.46666667,17.79,43.79,17.57222222,54.4,4,99.4,17.05,39.95,19.79,53.5,16.82333333,49.82666667,4.466666667,754.2666667,94.66666667,4,25
130,30,21.5,36,19.73,37.59,22.1,34.5,21.96333333,34.5,18.5,43.29,8.226666667,26.93333333,19.26,28.85666667,22.76,36.93333333,19.32333333,34.9,6.8,762.1333333,68.33333333,3.666666667,24
100,10,21.66666667,40.05666667,19.66666667,36.3,20.9725,36.145,19.39,34.1,19.35666667,38.66666667,-1.356666667,62.46333333,20.96333333,25.39,22.7,33.15666667,18.29,38.7,0.666666667,770.1,70.33333333,1,36.33333333
150,0,24.39,39.43333333,24,37.63333333,25.29,39.2,23.96333333,41.09,23.22571429,48.14,16.6475,1,23.434,34.652,24.5,39.09571429,22.745,38.745,14.35,758.8166667,67.5,5,38.16666667
160,20,21.29,40.4,19.89,41.7,23.1475,37.3975,21.1,38.334,20.5,45,7.296666667,38.79333333,20.7,32.05428571,22.23,39.15666667,21.32333333,40.56666667,5.1,754.0333333,86,3.333333333,40
90,0,21.73,36.33333333,20.92666667,35.83333333,25.56666667,38.06333333,20,37.7,20,74.2,12.96333333,1,19.39,31.1,22.39,39.22333333,19.39,38.73,10.33333333,759.4,63.83333333,2.666666667,25
50,0,21.79,39.59,23.33333333,37.46666667,23.39,37.56,21.9175,38.59,19.96333333,45.95666667,11.46,25.33333333,20.85,37.156,22.39,42.7,20.25142857,41.45714286,8.966666667,762.4333333,84.66666667,4.333333333,35.33333333
110,0,22.26,41.86333333,21.03333333,41.16333333,24.6,37.65666667,21.16666667,41.12666667,20.79,45.42666667,16.63,13.33,21.89,36.56,23.6,40.36333333,20.89,43.7,12.66666667,751.2,67.66666667,3.666666667,36.33333333
70,0,24.89,47.36333333,22.7,49.59,26.46,43.3,24.89,44.2,24,50,11.96333333,56.2,24.76,41.4,25.978,48.918,24.365,49.09,12.18333333,746.25,97.33333333,1,40.5
20,0,20,41.4,18.29,41.59,20.03333333,40.82666667,19.29,38.32666667,18.13333333,58.7,-5.185555556,86.99888889,19.5,37.2,20.39,45.63333333,17.42666667,40.26666667,-4.433333333,759.7666667,86.83333333,2,20.33333333
50,30,20.89,36.29,18.29,39.62666667,19.96333333,37.53,21.2,35.16333333,18.46333333,64.06666667,4.833333333,51.23333333,18.16666667,33.16333333,20.79,40.2,17.29,36.29,4.433333333,750.1166667,76.33333333,1.166666667,28.5
60,20,21.42666667,35.32666667,18.89,37.59,21,35.2,21.5,34.29,18.79,40.29,-2.833333333,68.65666667,20.1,28.2,22.03333333,39.86333333,18.29,38.86333333,-1.966666667,763.2,96,1,45
50,0,23.06666667,40.42666667,22.175,39.75,21.66666667,43,19.13333333,45.62666667,19.26,53.69666667,3.663333333,61.56666667,19.03333333,39.36333333,19.7,45.63333333,17,43.39666667,2.8,749.5333333,77.33333333,7.666666667,34.33333333
80,0,21.2,36.26,19.5,36.59,21.29,35.9,19.96333333,35.4,18.7,39.86333333,3.826666667,59.5,20.2225,28.175,21.79,34.46666667,18.16666667,40.5,4.283333333,771.6166667,60,3.166666667,40
50,0,19.1,39.2,17.79,39.2,18.89,39.12666667,17.73,38.29,17.1,48.79,-5.85,82.40888889,17.2,32.79,19.6,45.7,16.39,41.43333333,-4.955555556,758.8555556,91.66666667,1.222222222,58.33333333
360,10,22.1,42.26666667,21.06666667,42.82666667,23.56666667,38.69333333,21.13333333,41.13333333,20.5,46.66333333,15.96333333,17.06666667,21.42666667,37.29,23.39,40.56,20.89,42.23,11.4,750.9333333,76.33333333,3,36.33333333
320,20,22.445,40.895,21.2,38.495,22.79,37.9,21.46333333,38.76666667,20.2,49.89,13.36666667,12.16,21.7,31.13333333,24.79,40.29666667,20.6,40,11.76666667,751.3833333,59.66666667,6,30
40,0,19.1,44.29,18.39,44.09,19.89,44.82666667,16.5,46.59,16.7,51.71,8.89,90.09666667,16.85111111,42.65722222,18.5,53.91666667,16.39,49,8.633333333,755.9,90,11.66666667,42
50,0,21.66666667,42.4,20.7,42.5,21.39,43.62666667,20.96333333,42.32666667,19.29,76.51,7.69,78.2,18.92055556,38.16333333,22.1,50.43333333,18.89,45.12666667,7.766666667,741.2333333,83.16666667,12,40
120,0,25.35666667,47.02666667,24.29,46.39,25.92666667,42.53,24.2,44.93333333,25.18285714,83.61,15.3225,5.1475,23.79,37.94285714,24.79,46.15666667,23,41.97090909,14.36666667,758.1,74,6.333333333,40
80,10,23.2,39.36333333,22.39,38.26,21.13333333,41.86333333,21.7,42.9,20.85666667,74.06666667,2.4,94.5,19,40.06,20.79,45.09666667,17.6,44.96,2.616666667,760.5,95.16666667,3.166666667,37.16666667
30,0,19.5,37.59,17.32333333,39.96333333,20.2,35.79,18.6,35.5,17.6,45,2.5,79.46666667,17.89,32.4,19.46333333,39.56,17.39,36.96666667,1.566666667,757.25,97.33333333,2.833333333,57
120,0,23.06666667,37.12666667,20.5,39.72333333,22.56666667,36.23,20.29,38.02666667,20.79,43.82333333,5.656666667,58.39,19.16666667,31.39,23.89,37.9,19.39,36.59,5.583333333,761.4333333,89.66666667,3,21.16666667
40,10,20.03333333,44,19,43.29,19.79,44.4,20.2,43.09666667,17.5,51,4.933333333,86.45666667,18.2,39.26,18.7,47.02666667,17,42.7,5.1,744.85,88,6.5,40
50,0,21.89,42.5,19.6,45.9,23.76,40.09,22.1,40.79,20.5,51.4,9.7725,61.8725,21.1,37.5,23.06,47.916,20.79,46,9.6,747.9,93,5,34.5
30,0,18.5,42.26,17.79,41.66333333,18.32333333,43.59,15.89,46.82666667,15.39,51,5.623333333,99.9,15.6,39.86333333,18.90833333,51.4,15.3,47.56,5.333333333,768.9333333,92,4,23
40,0,19.29,41.29,18.1,41.56,19.6,40.59,18.7,38,17.5,55.17555556,-0.227777778,94.16722222,18.89,34.29,19.525,41.8725,17.1,37.5,-0.966666667,756.6666667,78,2,32.66666667
40,0,21.39,37.4,18.85666667,39.7,21.39,37.43333333,19.5,35.96666667,18.79,47.79666667,0.8,76.4,18.6,31.79,21.89,39.76,18.29,38.23,0.9,740.45,94.5,1,42.5
50,0,22.79,39.59,20.25142857,42.15285714,24.79,37.42,23.1,37.09,22.79,42.545,7.9,51.59,23.2,33.5,24.79,40.7,22.84,42.645,7.433333333,760.6166667,99.16666667,0.166666667,29.33333333
60,0,21.1,44,23.35666667,39.65666667,21.79,40.5,20.82333333,42.9,19.29,47.23,17.09666667,35.6,20.1,39.66333333,21.29,44.96666667,20,42.4,14.75,752.45,79,4.5,34.5
300,10,22.79,31.95666667,21.89,28.52333333,23.22666667,37.23333333,22.7,30.872,20.39,35.93,15.46333333,1,22.58571429,26.26714286,22.2,33.15666667,20.2,34.26,15.26666667,765,33.33333333,6,40
40,10,20.6,35.9,18.76,36.59,20.12,37.9,18.39,36.5,17.07142857,45.47142857,1.1,81.69333333,17.5,31.7,20,43.7,17.54,39.7,0.516666667,758.5,99,2,17.83333333
70,0,21.89,39.96666667,20.39,40.23,24.06666667,36.86333333,20.2,37.5,19.79,50.62666667,10.93333333,4.46,19.7,31,22.7,37.29,19.46333333,37.66333333,9.616666667,760.9333333,67,6,40
40,0,21.5,42.7,20.79,41.59,23.03333333,42.93333333,20.2,42.7,20.1,46.58555556,6,77.76,19,38,21.5,50.02,19.1,47.09,6.4,741.2333333,80.66666667,7.5,26.83333333
60,0,21.89,38.29,19.29,41.5,23,38.29,20.29,39.4,20,47.29,8.33,47.25666667,21.39,37.66333333,23.7,40.59,20.29,41.59,8.466666667,748.2,75.33333333,8,40
50,0,21.79,39.89,19.7,42.36,22.1,39.22333333,21.23,38.96666667,19.7,46.76666667,10.13,36.39333333,19.82333333,34.56666667,21.6,39.73,19.7,38.66333333,9.083333333,756.2166667,73.33333333,4.833333333,40
50,0,21.73,38.62666667,18.2,43.13333333,22.39,37.5,22.81857143,37.22571429,20.5,44.5,0.466666667,51.56666667,20.95875,31,22.63333333,39.5,20.5,38.76,1.85,760.5,94,1,32.5
50,0,24.29,38.09,22.79,38.06666667,24.7,37.79,23.85666667,36.7,21.2,50.4,12.56,18.79,23.1,34.59,24.39,43.56,21.63333333,41.46333333,12.96666667,752.5,75.33333333,2.333333333,40
60,0,24.79,50.19333333,27.57142857,42.29571429,25.45285714,46.86714286,25.89,45.4,23.79,53.63333333,23.86714286,6.581428571,24.6,44.19428571,25.29,49.03,23.79,48,18.55,748.55,74.33333333,1,30.83333333
60,0,23.2,41.29,20.89,43.7,24.5,38.73,23.1,38.96666667,21.39,48.21285714,10.36,42.76666667,23.2,40.83333333,23.6,43.856,22.7,43.88428571,10.16666667,753.6666667,88.16666667,1,20.83333333
50,0,22.92666667,41.03333333,22.1,40.43333333,21.73,42.86333333,19.2,45.83333333,19.56666667,52.39,3.7,62.32666667,19.1,39.43,19.73,44.9,16.89,41.46666667,3.15,749.5166667,73.66666667,7.833333333,37.16666667
360,0,20.29,37.9,19.39,36.66333333,18.99333333,40.86333333,17.6,38.66333333,18.29555556,39.92222222,-1.5,94.9,16.89,29.27111111,19.7,38.79833333,16,38.96333333,0.816666667,764.5333333,82.33333333,3.666666667,62.16666667
50,0,24.73,47.59,23.5,48.29,26.5,42.05142857,25.1,46,23.7,51.73,17.63333333,52.75666667,24.272,44.9,25,48.79,23.89,47.9,16.43333333,750.9166667,89.66666667,4,38
60,0,22.2,39.09,25.7,32,23.13333333,37.7,22.79,37.79,20.5,42.76666667,13.22666667,1,20.89,34.86,22.2,40.62666667,20.29,40.79,10.8,763.65,60.16666667,5.833333333,40
70,0,20.89,44.9,20.39,43.29,21.5,44.09,19.7,45.9,19.285,56.64666667,11.6,66.72666667,18.7,40.93333333,21,48.065,18.89,47.03,10.66666667,749.0333333,72.83333333,9.666666667,40
90,10,20.85666667,35.19333333,19.42666667,34.59666667,20.76,35.09,19.85666667,31.96333333,17.89,44.10571429,3.663333333,39.49,20.56,27.254,22.39,35.33,18.1,39.7,3.966666667,751.6333333,60.5,5.833333333,27.33333333
50,0,24.39,38.4,22.89,37.9,26.39,38.2,24.69285714,36.2,23.39,39.29,14.912,6.898,24.29,38.22571429,24.29,40.4,23.29,44.66571429,15.35,751.7166667,60.33333333,2,40
90,0,21.1,40.73,20.1,41.03,20.80428571,39.22857143,17.89,44.26,17.6,57.514,9.63,92.86666667,17.7,39,20.35666667,47.73,17.7,44.09,9.2,755.0166667,90.83333333,5.833333333,29
60,0,21.23,36.2,19.6,37.76,21.79,36.2,20.2,35.5,19.29,42.26,11.4,19.59,19.26,30.79,21.76,37.62666667,19.5,37.26,9.233333333,761.3666667,63.33333333,3,40
